ID,Data_Pub,Link,Titulo,Aba,Views,Local,Status,Data_Extracao
4vl8o6R2_Zg,23/06/2026,https://www.youtube.com/watch?v=4vl8o6R2_Zg,"Impacto do petróleo na aviação, Move Brasil para mulheres motoristas, legado da COP 30 em Belém",Videos,NA,FGV_Parte_1,Sucesso,2026-06-23
NdGBmy0wTqA,22/06/2026,https://www.youtube.com/watch?v=NdGBmy0wTqA,10 anos da Casa Acervo Professora Alzira Alves de Abreu - FGV CPDOC,Videos,NA,FGV_Parte_1,Sucesso,2026-06-23
mlP2dtU5dOI,22/06/2026,https://www.youtube.com/watch?v=mlP2dtU5dOI,"Furtos e o 'celular do Pix', Brasil cai em competitividade, Cuba aprova reformas históricas",Videos,NA,FGV_Parte_1,Sucesso,2026-06-23
n0r5mUkdIwI,22/06/2026,https://www.youtube.com/watch?v=n0r5mUkdIwI,Os desafios do setor de energia elétrica no Brasil | Podcast Aluno Executivo FGV EPGE,Videos,NA,FGV_Parte_1,Sucesso,2026-06-23
xBzKU_f13g8,20/06/2026,https://www.youtube.com/watch?v=xBzKU_f13g8,"Mudanças nos CNPJs no Brasil, inflação das festas juninas, construção civil cria 140 mil vagas",Videos,NA,FGV_Parte_1,Sucesso,2026-06-23
gTOP3QpEFPc,19/06/2026,https://www.youtube.com/watch?v=gTOP3QpEFPc,O petróleo pode impulsionar o desenvolvimento do Brasil?,Videos,NA,FGV_Parte_1,Sucesso,2026-06-23
mIbBxvnVFco,19/06/2026,https://www.youtube.com/watch?v=mIbBxvnVFco,O mito do sucesso instantâneo | Conexão Econômica,Videos,NA,FGV_Parte_1,Sucesso,2026-06-23
mNyo66vBUDE,19/06/2026,https://www.youtube.com/watch?v=mNyo66vBUDE,"Ganho do Irã no acordo com EUA, FGV aponta alta de 0,1% no PIB, 10 estados que mais usam chatbot",Videos,NA,FGV_Parte_1,Sucesso,2026-06-23
dyCLLYf7RXQ,18/06/2026,https://www.youtube.com/watch?v=dyCLLYf7RXQ,"Chances da Argentina de Messi vencer a Copa, Copom reduz Selic a 14,25%, IA já redefine o marketing",Videos,NA,FGV_Parte_1,Sucesso,2026-06-23
d4pNr6aYbQ8,17/06/2026,https://www.youtube.com/watch?v=d4pNr6aYbQ8,A matemática da Previdência | Conexão Econômica,Videos,NA,FGV_Parte_1,Sucesso,2026-06-23
fhmFZeHQPuY,17/06/2026,https://www.youtube.com/watch?v=fhmFZeHQPuY,"STF torna Eduardo Bolsonaro inelegível, nova estratégia das marcas, acordo com a UE valoriza Brasil",Videos,NA,FGV_Parte_1,Sucesso,2026-06-23
irJWsxaGxEo,17/06/2026,https://www.youtube.com/watch?v=irJWsxaGxEo,Eu Chorei Rios: Arte e Memória | Impacto Social FGV com Paulo Herkenhoff e Glicéria Tupinambá,Videos,NA,FGV_Parte_1,Sucesso,2026-06-23
P-EPuaiCnNA,16/06/2026,https://www.youtube.com/watch?v=P-EPuaiCnNA,"Desafio de Lula no G7 ante Trump, petróleo sob pressão do mercado, desafios do BRICS Pay",Videos,NA,FGV_Parte_1,Sucesso,2026-06-23
7S6ku5bcuvo,16/06/2026,https://www.youtube.com/watch?v=7S6ku5bcuvo,O risco da estagnação | FGV Marketing Talks,Videos,NA,FGV_Parte_1,Sucesso,2026-06-23
QRbbg2laMe8,15/06/2026,https://www.youtube.com/watch?v=QRbbg2laMe8,Saiba mais sobre a Pós-Graduação Master da FGV EESP,Videos,NA,FGV_Parte_1,Sucesso,2026-06-23
LBkaLUbz8GI,15/06/2026,https://www.youtube.com/watch?v=LBkaLUbz8GI,"Eleição sem centro no Brasil, FGV mostra crise de emprego, crença no OVNI do Paraná",Videos,NA,FGV_Parte_1,Sucesso,2026-06-23
SCMwR7yo16Y,13/06/2026,https://www.youtube.com/watch?v=SCMwR7yo16Y,"Pautas-bomba do Congresso, idosos ativos no trabalho, IA pode superar influenciadores humanos",Videos,NA,FGV_Parte_1,Sucesso,2026-06-23
OltC__8DFAE,12/06/2026,https://www.youtube.com/watch?v=OltC__8DFAE,"Redução da maioridade penal, IA alcança 41% do agronegócio, projeções para Brasil x Marrocos na Copa",Videos,NA,FGV_Parte_1,Sucesso,2026-06-23
eYrWi8kFxhs,11/06/2026,https://www.youtube.com/watch?v=eYrWi8kFxhs,"Copa mais tecnológica, profissões mais bem pagas do Brasil, IAs indicam votos mesmo proibidas",Videos,NA,FGV_Parte_1,Sucesso,2026-06-23
Dq7Mr3TkD6I,10/06/2026,https://www.youtube.com/watch?v=Dq7Mr3TkD6I,"Homem branco lidera verba eleitoral, impacto ambiental do carro elétrico, custo do Dia dos Namorados",Videos,NA,FGV_Parte_1,Sucesso,2026-06-23
